aX,aY,aZ,gX,gY,gZ
0.234,0.398,1.175,-115.051,182.495,-267.090
0.058,0.090,0.982,-140.198,201.904,-274.048
-0.061,-0.258,0.756,-161.499,219.055,-275.452
-0.134,-0.651,0.538,-182.800,232.666,-267.944
-0.203,-1.068,0.266,-204.956,242.737,-244.934
-0.232,-1.685,-0.040,-219.666,250.977,-211.609
-0.493,-1.660,-0.268,-223.694,255.249,-169.067
-0.581,-1.877,-0.904,-208.618,250.122,-144.531
-0.415,-2.428,-1.371,-169.983,237.488,-139.709
-0.220,-2.510,-1.479,-147.278,216.919,-111.389
-0.079,-2.619,-1.586,-129.700,192.017,-82.214
-0.038,-2.794,-1.893,-86.426,164.734,-63.171
-0.140,-2.813,-2.095,-48.767,119.141,-34.302
-0.122,-2.609,-2.124,-8.484,67.383,-4.883
-0.048,-2.527,-2.076,38.208,14.221,17.883
0.044,-2.427,-1.989,70.801,-38.147,41.870
0.044,-2.136,-1.767,91.187,-90.881,70.679
