aX,aY,aZ,gX,gY,gZ
0.503,-0.603,0.893,-1.343,33.936,10.132
0.503,-0.569,0.804,7.751,33.264,4.578
0.467,-0.634,0.761,20.386,24.414,-2.991
0.477,-0.631,0.755,24.292,12.695,-5.432
0.485,-0.650,0.756,27.527,0.183,-6.104
0.477,-0.647,0.750,33.264,-9.705,-7.263
0.464,-0.652,0.740,40.222,-17.578,-8.423
0.461,-0.727,0.823,45.654,-23.376,-7.324
0.497,-0.825,0.971,50.964,-22.217,-1.526
0.472,-0.771,0.896,52.124,-12.390,9.644
0.308,-0.754,0.791,50.232,-1.709,19.165
0.375,-0.801,0.820,36.804,7.751,20.386
0.381,-0.774,0.897,7.080,18.616,14.832
0.372,-0.789,0.823,-19.714,26.855,3.540
0.443,-0.787,0.815,-36.316,29.907,0.916
0.562,-0.704,0.799,-45.959,31.921,5.493
0.562,-0.709,0.768,-37.720,27.161,7.263
0.598,-0.593,0.720,-32.471,20.142,9.949
0.595,-0.606,0.688,-23.621,11.597,10.864
0.567,-0.644,0.686,-10.315,3.113,10.681
0.531,-0.642,0.698,0.122,-4.700,9.949
0.473,-0.615,0.665,0.793,-10.193,9.766
0.454,-0.653,0.711,0.854,-12.268,9.705
0.463,-0.655,0.758,5.371,-10.315,11.108
0.470,-0.626,0.722,6.958,-5.859,15.015
0.494,-0.626,0.725,6.104,-2.075,19.470
0.522,-0.638,0.732,2.625,-0.122,23.315
0.538,-0.630,0.719,-1.953,0.122,24.902
0.529,-0.590,0.709,-3.540,-2.625,23.376
0.488,-0.544,0.703,-2.991,-7.141,19.897
0.471,-0.511,0.728,-1.831,-10.742,16.296
0.483,-0.514,0.754,1.038,-13.489,12.634
0.475,-0.507,0.730,5.859,-14.893,9.033
0.463,-0.481,0.691,11.841,-15.198,4.883
0.465,-0.506,0.669,16.846,-15.198,1.221
0.464,-0.585,0.665,18.677,-14.160,-0.671
0.472,-0.643,0.668,16.418,-11.292,0.000
0.457,-0.669,0.683,12.512,-9.094,2.075
0.460,-0.679,0.688,4.211,-7.141,5.432
0.459,-0.668,0.715,-4.883,-5.737,9.033
0.436,-0.611,0.708,-11.719,-5.371,11.841
0.407,-0.559,0.695,-16.479,-6.836,13.123
0.413,-0.500,0.678,-19.775,-8.911,12.146
0.430,-0.482,0.685,-20.935,-10.254,10.803
0.441,-0.470,0.672,-20.325,-10.742,8.484
0.444,-0.469,0.669,-14.648,-11.047,5.188
0.456,-0.485,0.661,-8.301,-11.169,2.197
0.467,-0.517,0.656,-3.418,-11.230,0.061
0.467,-0.547,0.662,1.465,-11.353,-0.610
0.442,-0.561,0.650,3.967,-10.559,0.427
0.423,-0.585,0.654,2.380,-8.911,3.113
0.429,-0.588,0.685,-0.122,-6.348,6.592
,,,,,
-0.890,-0.744,1.085,44.678,76.294,32.104
-0.929,-0.871,1.169,53.101,104.187,39.185
-0.970,-1.119,1.181,55.359,132.812,47.546
-0.936,-1.353,1.172,55.603,154.175,59.692
-0.944,-1.589,1.246,60.730,166.199,72.021
-0.863,-1.657,1.414,61.523,171.814,87.524
-0.836,-1.544,1.412,51.880,173.035,105.103
-0.952,-1.442,1.386,59.814,174.255,115.540
-0.796,-1.289,1.444,79.956,176.636,123.352
-0.598,-1.335,1.512,93.384,178.040,130.127
-0.479,-1.415,1.617,107.788,183.411,132.996
-0.352,-1.549,1.517,105.896,196.289,138.000
-0.171,-1.821,1.565,98.755,204.956,149.353
0.063,-2.042,1.606,87.463,215.698,165.649
0.311,-2.182,1.660,78.186,222.900,184.021
0.494,-2.367,1.625,81.421,213.257,199.280
0.710,-2.233,1.573,78.186,189.575,218.506
0.801,-1.707,1.448,73.853,162.048,237.976
0.747,-1.282,1.198,62.744,151.306,235.657
1.005,-1.224,1.221,57.983,149.963,234.131
1.129,-1.008,1.037,40.527,148.193,241.394
1.251,-0.768,0.921,42.542,151.917,244.080
1.362,-0.514,0.917,50.659,161.987,247.620
1.399,-0.416,0.738,40.161,174.744,254.944
1.107,-0.228,0.596,29.541,171.936,261.719
0.756,-0.002,0.513,20.935,167.297,272.217
0.696,0.424,0.448,16.541,160.461,273.987
0.652,0.886,0.259,19.592,148.254,261.353
0.802,1.589,-0.071,4.822,148.987,246.826
0.804,2.304,-0.478,-26.794,180.908,225.098
1.060,2.984,-1.457,-86.731,217.468,187.683
1.073,3.997,-2.359,-46.448,235.535,125.488
0.885,3.193,-2.152,34.119,221.375,24.353
0.885,1.596,-2.340,11.780,142.334,-72.693
0.115,-0.212,-0.822,30.457,-38.940,-182.983
-0.820,0.272,2.068,45.166,-177.673,-230.225
